LR745848	LR745848	100.0	1538	0	0	1538	1538
LR745848	FR870445	99.0	1521	15	0	1538	1530
LR745848	X96963	99.0	1488	15	0	1538	1488
HF558388	HF558388	100.0	1515	0	0	1515	1515
HF558388	X96963	99.5	1480	7	0	1515	1488
HF558388	FR870445	99.3	1515	10	0	1515	1530
X96963	X96963	100.0	1488	0	0	1488	1488
X96963	FR870445	99.9	1487	2	0	1488	1530
X96963	AF530475	99.9	1473	2	0	1488	1473
AF530475	AF530475	100.0	1473	0	0	1473	1473
AF530475	X96963	99.9	1473	2	0	1473	1488
AF530475	FR870445	99.8	1473	3	0	1473	1530
X96966	X96966	100.0	1487	0	0	1487	1487
X96966	X96963	99.1	1488	13	1	1487	1488
X96966	FR870445	98.9	1487	15	1	1487	1530
AJ508775	AJ508775	100.0	1494	0	0	1494	1494
AJ508775	FR870445	99.3	1494	11	0	1494	1530
AJ508775	X96963	99.3	1480	11	0	1494	1488
X80725	X80725	100.0	1450	0	0	1450	1450
X80725	X96963	99.4	1442	6	2	1450	1488
X80725	FR870445	99.3	1441	8	2	1450	1530
FR870445	FR870445	100.0	1530	0	0	1530	1530
FR870445	X96963	99.9	1487	2	0	1530	1488
FR870445	LR745848	99.0	1521	15	0	1530	1538
KJ787692	KJ787692	100.0	1504	0	0	1504	1504
KJ787692	X96966	98.9	1488	16	1	1504	1487
KJ787692	LR745848	98.8	1504	18	0	1504	1538
EU014688	EU014688	100.0	1368	0	0	1368	1368
EU014688	EU014685	99.2	1368	11	0	1368	1448
EU014688	AE006468	98.9	1368	15	0	1368	1545
EU014685	EU014685	100.0	1448	0	0	1448	1448
EU014685	AE006468	98.8	1448	17	0	1448	1545
EU014685	EU014684	98.8	1437	17	0	1448	1437
EU014680	EU014680	100.0	1414	0	0	1414	1414
EU014680	EU014684	99.1	1414	13	0	1414	1437
EU014680	EU014685	98.6	1414	20	0	1414	1448
EU014684	EU014684	100.0	1437	0	0	1437	1437
EU014684	EU014685	98.8	1437	17	0	1437	1448
EU014684	AE006468	98.5	1437	21	0	1437	1545
HQ992945	HQ992945	100.0	1494	0	0	1494	1494
HQ992945	X96963	98.3	1480	25	0	1494	1488
HQ992945	HF558388	98.3	1494	26	0	1494	1515
MK734184	MK734184	100.0	1411	0	0	1411	1411
MK734184	AJ508775	97.8	1411	31	0	1411	1494
MK734184	LR745848	97.7	1411	32	0	1411	1538
AE006468	AE006468	100.0	1545	0	0	1545	1545
AE006468	CP017183	98.3	1545	25	1	1545	1554
AE006468	CP017186	98.1	1545	28	1	1545	1554
DQ821583	DQ821583	100.0	1440	0	0	1440	1440
DQ821583	KX893413	98.1	1442	26	2	1440	1487
DQ821583	JN657217	97.2	1442	39	2	1440	1499
AF008580	AF008580	100.0	1491	0	0	1491	1491
AF008580	EU014685	98.1	1448	26	1	1491	1448
AF008580	AE006468	97.7	1492	33	1	1491	1545
AF029227	AF029227	100.0	1498	0	0	1498	1498
AF029227	AE006468	98.2	1498	27	0	1498	1545
AF029227	LR745848	97.7	1498	34	0	1498	1538
MK942857	MK942857	100.0	1528	0	0	1528	1528
MK942857	MK049966	97.6	1528	36	0	1528	1528
MK942857	AJ508775	97.3	1494	38	2	1528	1494
AJ417484	AJ417484	100.0	420	0	0	420	420
AJ417484	JF795011	99.8	420	1	0	420	1404
AJ417484	HQ888848	99.8	420	1	0	420	1429
AF025363	AF025363	100.0	1496	0	0	1496	1496
AF025363	AF025364	98.7	1498	18	2	1496	1522
AF025363	AF025371	98.4	1486	22	2	1496	1511
MN603664	MN603664	100.0	1552	0	0	1552	1552
MN603664	AF025371	99.3	1511	9	1	1552	1511
MN603664	FR870441	99.1	1504	13	0	1552	1504
DQ453129	DQ453129	100.0	1450	0	0	1450	1450
DQ453129	AB681979	98.8	1440	18	0	1450	1467
DQ453129	HQ992945	97.9	1450	31	0	1450	1494
MW680835	MW680835	100.0	1485	0	0	1485	1485
MW680835	MW411192	98.8	1446	16	2	1485	1445
MW680835	LR745848	95.4	1485	69	0	1485	1538
FR870441	FR870441	100.0	1504	0	0	1504	1504
FR870441	AF025371	99.7	1501	4	1	1504	1511
FR870441	MN603664	99.1	1504	13	0	1504	1552
KF500917	KF500917	100.0	1359	0	0	1359	1359
KF500917	MW680835	96.1	1359	53	0	1359	1485
KF500917	KP326384	95.5	1359	61	0	1359	1502
MW411192	MW411192	100.0	1445	0	0	1445	1445
MW411192	MW680835	98.8	1446	16	2	1445	1485
MW411192	MK734184	95.7	1411	59	1	1445	1411
AF025371	AF025371	100.0	1511	0	0	1511	1511
AF025371	FR870441	99.7	1501	4	1	1511	1504
AF025371	MN603664	99.3	1511	9	1	1511	1552
AF025364	AF025364	100.0	1522	0	0	1522	1522
AF025364	AF025371	98.5	1510	19	3	1522	1511
AF025364	MN603664	98.3	1522	24	2	1522	1552
AB273741	AB273741	100.0	1490	0	0	1490	1490
AB273741	KX893413	98.2	1487	26	1	1490	1487
AB273741	AF025368	98.1	1490	27	1	1490	1530
KM089834	KM089834	100.0	1464	0	0	1464	1464
KM089834	KP319034	99.6	1368	4	1	1464	1368
KM089834	EF643377	99.6	1368	6	0	1464	1368
EF643377	EF643377	100.0	1368	0	0	1368	1368
EF643377	KP319034	99.6	1368	4	1	1368	1368
EF643377	KM089834	99.6	1368	6	0	1368	1464
KP319034	KP319034	100.0	1368	0	0	1368	1368
KP319034	KM089834	99.6	1368	4	1	1368	1464
KP319034	EF643377	99.6	1368	4	1	1368	1368
KF436763	KF436763	100.0	1502	0	0	1502	1502
KF436763	KY744694	97.1	1503	43	1	1502	1531
KF436763	GQ367483	95.6	1485	66	0	1502	1494
JQ001784	JQ001784	100.0	1500	0	0	1500	1500
JQ001784	KP345901	99.0	1463	13	2	1500	1462
JQ001784	MK049966	98.3	1501	25	1	1500	1528
KP345901	KP345901	100.0	1462	0	0	1462	1462
KP345901	JQ001784	99.0	1463	13	2	1462	1500
KP345901	HQ651841	98.0	1465	25	4	1462	1507
KY744694	KY744694	100.0	1531	0	0	1531	1531
KY744694	AB907776	96.4	1495	53	1	1531	1494
KY744694	GQ367483	96.0	1495	59	1	1531	1494
AJ251469	AJ251469	100.0	1511	0	0	1511	1511
AJ251469	HQ651841	99.5	1487	5	2	1511	1507
AJ251469	AJ853891	99.0	1511	15	0	1511	1513
HQ651841	HQ651841	100.0	1507	0	0	1507	1507
HQ651841	AJ251469	99.5	1487	5	2	1507	1511
HQ651841	MG832788	98.9	1507	13	3	1507	1528
AB681979	AB681979	100.0	1467	0	0	1467	1467
AB681979	DQ453129	98.8	1440	18	0	1467	1450
AB681979	MK040622	97.1	1464	41	2	1467	1462
JF795011	JF795011	100.0	1404	0	0	1404	1404
JF795011	AJ251469	99.1	1404	12	0	1404	1511
JF795011	JQ001784	98.6	1404	20	0	1404	1500
LC368255	LC368255	100.0	1537	0	0	1537	1537
LC368255	VTUC01000000	95.8	1462	59	2	1537	1536
LC368255	VTTY00000000	95.3	1462	67	2	1537	1536
HQ888848	HQ888848	100.0	1429	0	0	1429	1429
HQ888848	AJ251469	97.5	1429	36	0	1429	1511
HQ888848	HQ651841	97.3	1431	36	2	1429	1507
EU672801	EU672801	100.0	1426	0	0	1426	1426
EU672801	EF488759	98.6	1426	16	4	1426	1481
EU672801	CP018016	98.5	1426	17	4	1426	1552
DQ273681	DQ273681	100.0	1266	0	0	1266	1266
DQ273681	LK054215	97.9	1270	23	4	1266	1451
DQ273681	KX709881	97.2	1269	32	3	1266	1341
EF488759	EF488759	100.0	1481	0	0	1481	1481
EF488759	CP018016	99.8	1481	3	0	1481	1552
EF488759	AJ251469	98.1	1477	28	0	1481	1511
LK054215	LK054215	100.0	1451	0	0	1451	1451
LK054215	AJKU01000067	97.2	1445	39	1	1451	1523
LK054215	MZ457073	97.2	1442	40	0	1451	1502
JF795013	JF795013	100.0	1397	0	0	1397	1397
JF795013	EF488759	98.6	1399	17	2	1397	1481
JF795013	EU672801	98.6	1403	14	6	1397	1426
